Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,137,15,580.0,591.3251870373191,49.08749999594875,2267.220207999344,91609.59854014599,1.377790416336044,0.15085296529226758,580,640,710,740,890,980,1200,1400,2300,2300,2300
POST,/api/v1/statuses [POST],353,353,81,91.07418877107919,47.64879100548569,394.98170900333207,29.0,3.550073116544697,3.550073116544697,81,90,98,100,130,170,230,280,390,390,390
POST,/api/v1/statuses/:id/favourite,71,6,100.0,118.41933332460697,49.762208000174724,395.9291250066599,1502.5915492957747,0.7140373690500665,0.06034118611690703,100,120,130,140,190,240,240,400,400,400,400
GET,/api/v1/timelines/home,416,65,260.0,270.66360074762156,48.97370800608769,1646.7320829979144,27862.54326923077,4.1836555707722205,0.6536961829331595,260,300,330,360,420,470,590,690,1600,1600,1600
GET,/api/v1/timelines/public,204,0,94,105.51220812247301,87.08995798951946,445.69495899486355,30980.0,2.051600327974839,0.0,94,95,96,97,100,190,340,360,450,450,450
GET,/api/v1/timelines/public [fav sample],71,0,49,58.86034332326462,45.80066699418239,203.3079159882618,7746.0,0.7140373690500665,0.0,49,51,52,53,76,140,160,200,200,200,200
GET,/api/v2/search,51,3,83,93.95758813679647,51.15266700158827,357.15787499793805,225.62745098039215,0.5129000819937097,0.030170593058453515,83,88,94,95,110,210,300,360,360,360,360
,Aggregated,1303,442,98,203.11587234479987,45.80066699418239,2267.220207999344,23898.424405218728,13.104094251721643,4.445134043945485,98,230,270,310,480,610,760,910,1600,2300,2300
