Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,69,0,830.0,933.5858700725257,467.66583299904596,2764.6862500114366,102872.63768115942,1.1647812683860406,0.0,830,940,1000,1100,1400,2100,2200,2800,2800,2800,2800
POST,/api/v1/statuses [POST],250,246,90,119.00052700476954,59.42562500422355,779.8372920078691,54.936,4.220221986905944,4.1526984351154494,90,110,110,130,180,260,690,750,780,780,780
POST,/api/v1/statuses/:id/favourite,35,0,150.0,188.9197023730958,77.88220800284762,749.9822080135345,1637.4285714285713,0.5908310781668322,0.0,150,170,180,210,350,610,750,750,750,750,750
GET,/api/v1/timelines/home,187,0,350.0,423.57078701670764,183.09062499611173,2130.003583006328,33018.28342245989,3.1567260462056463,0.0,350,440,490,520,680,900,1200,1500,2100,2100,2100
GET,/api/v1/timelines/public,117,0,310.0,362.26960469192016,173.07991698908154,1621.2808749987744,30980.0,1.975063889871982,0.0,310,400,440,490,560,670,890,910,1600,1600,1600
GET,/api/v1/timelines/public [fav sample],35,0,160.0,209.32723920019012,85.8684999984689,804.8467920016265,7746.0,0.5908310781668322,0.0,160,230,240,290,350,520,800,800,800,800,800
GET,/api/v2/search,40,0,88,143.64146257430548,58.34741699800361,1012.5714169989806,569.275,0.6752355179049511,0.0,95,120,160,160,230,480,1000,1000,1000,1000,1000
,Aggregated,733,246,220.0,321.20755684217306,58.34741699800361,2764.6862500114366,23550.090040927695,12.373690865608229,4.1526984351154494,220,320,430,490,700,910,1300,1500,2800,2800,2800
