Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,37,0,620.0,669.7821441075821,467.7590409992263,1252.3724580096314,102871.13513513513,1.0548674719370519,0.0,620,690,740,820,910,1000,1300,1300,1300,1300,1300
POST,/api/v1/statuses [POST],139,139,89,96.16964087805212,60.870790999615565,271.7505830078153,29.0,3.962880502682438,3.962880502682438,89,100,110,110,130,170,200,230,270,270,270
POST,/api/v1/statuses/:id/favourite,22,0,120.0,121.31412495496492,74.7221250057919,176.552791002905,1640.1363636363637,0.6272184968274362,0.0,130,130,140,150,160,170,180,180,180,180,180
GET,/api/v1/timelines/home,100,0,270.0,320.790003320144,179.77679199248087,935.2295410062652,33016.75,2.850993167397437,0.0,270,310,370,390,470,630,740,940,940,940,940
GET,/api/v1/timelines/public,58,0,260.0,294.17838650035014,169.6886660065502,505.8554580027703,30980.0,1.6535760370905137,0.0,270,320,340,370,430,460,460,510,510,510,510
GET,/api/v1/timelines/public [fav sample],22,0,120.0,143.306640090569,85.85112501168624,331.2946249934612,7746.0,0.6272184968274362,0.0,130,150,160,160,210,220,330,330,330,330,330
GET,/api/v2/search,22,0,79,83.8609582741893,60.219999999389984,178.7023329961812,574.5909090909091,0.6272184968274362,0.0,80,82,89,90,100,140,180,180,180,180,180
,Aggregated,400,139,180.0,237.393660190246,60.219999999389984,1252.3724580096314,22819.785,11.403972669589749,3.962880502682438,180,260,300,340,530,640,840,940,1300,1300,1300
