Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,2052,1834,53,650.7824592164282,42.94600000139326,11128.171459000441,9719.209064327486,4.870276472360019,4.35286893289877,53,57,60,64,2200,5200,7500,8600,11000,11000,11000
POST,/api/v1/statuses [POST],7247,6557,53,570.8670391659601,43.51133300224319,11267.869000002975,183.328825720988,17.200240543466403,15.562574478199146,53,55,58,61,1500,4600,7000,8300,11000,11000,11000
POST,/api/v1/statuses/:id/favourite,133,38,4000.0,4106.588967758952,304.16800000239164,10229.293958007474,1179.0751879699249,0.31566606765296423,0.09019030504370407,4000,5100,5700,6400,7800,9000,9700,10000,10000,10000,10000
GET,/api/v1/timelines/home,6228,5537,53,651.7525852675327,42.78550000162795,11438.179125005263,3689.143384714194,14.781716310847077,13.141676816499722,53,56,59,63,2500,5100,7400,8600,11000,11000,11000
GET,/api/v1/timelines/public,3080,2614,52,669.706545600868,41.89220900298096,10974.137084005633,4711.815909090909,7.310161566700224,6.204143615374801,52,55,57,61,2700,5100,7200,8500,11000,11000,11000
GET,/api/v1/timelines/public [fav sample],1024,891,52,557.1133846785017,42.4892080045538,9422.992207997595,1031.25390625,2.4303913780198148,2.1147253103668504,52,54,56,59,1800,4500,6500,8100,9200,9400,9400
GET,/api/v2/search,979,873,53,589.8770577629604,41.667458004667424,11066.457458000514,90.24514811031665,2.3235870694154284,2.072003586925096,53,57,59,64,2300,4500,6400,7800,11000,11000,11000
,Aggregated,20743,18344,53,640.6228789865216,41.667458004667424,11438.179125005263,2895.5286120619003,49.23203940846193,43.53818304530809,53,55,59,63,2500,5000,7200,8500,11000,11000,11000
