Method,Name,Error,Occurrences
GET,/api/v2/search,CatchResponseError('Got 429'),11
POST,/api/v1/statuses/:id/favourite,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/statuses/:id/favourite'),17
GET,/api/v1/timelines/home,CatchResponseError('Got 429'),87
POST,/api/v1/statuses [POST],"CatchResponseError('Got 429: {""error"":""Too many requests""}')",105
GET,/api/v1/notifications,CatchResponseError('Got 429'),26
