Method,Name,Error,Occurrences
GET,/api/v2/search,CatchResponseError('Got 429'),11
POST,/api/v1/statuses/:id/favourite,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/statuses/:id/favourite'),14
GET,/api/v1/timelines/home,CatchResponseError('Got 429'),95
POST,/api/v1/statuses [POST],"CatchResponseError('Got 429: {""error"":""Too many requests""}')",689
GET,/api/v1/notifications,CatchResponseError('Got 429'),27
