Method,Name,Error,Occurrences
GET,/api/v2/search,CatchResponseError('Got 429'),44
POST,/api/v1/statuses/:id/favourite,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/statuses/:id/favourite'),33
GET,/api/v1/timelines/home,CatchResponseError('Got 429'),203
POST,/api/v1/statuses [POST],"CatchResponseError('Got 429: {""error"":""Too many requests""}')",472
GET,/api/v1/notifications,CatchResponseError('Got 429'),65
