Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,273,65,440.0,432.3293064474026,44.695666001643986,1399.096000008285,78443.08791208791,1.5267870414453473,0.3635207241536541,440,510,590,620,790,900,1200,1300,1400,1400,1400
POST,/api/v1/statuses [POST],658,472,68,86.17481655097286,46.075291000306606,727.6272909948602,487.4635258358663,3.6799482537400676,2.6397197200080726,68,79,86,96,130,180,290,440,730,730,730
POST,/api/v1/statuses/:id/favourite,115,33,81,100.35803699410398,44.71579199889675,492.5146249588579,1178.208695652174,0.6431520504256957,0.18455667533954745,81,98,110,130,180,230,240,380,490,490,490
GET,/api/v1/timelines/home,741,203,190.0,207.5626701629512,44.152333051897585,1288.2784999674186,23968.39271255061,4.144136255351657,1.135303184664489,190,230,270,290,360,440,610,790,1300,1300,1300
GET,/api/v1/timelines/public,393,0,94,104.1296804612609,83.48941605072469,528.166541014798,30998.52417302799,2.197902224498247,0.0,94,96,97,99,110,180,240,280,530,530,530
GET,/api/v1/timelines/public [fav sample],115,0,50,61.01542609014913,41.89233301440254,303.5290829720907,7750.313043478261,0.6431520504256957,0.0,50,52,54,55,94,140,150,160,300,300,300
GET,/api/v2/search,138,44,61,82.68368056641243,47.35866701230407,720.9515830036253,394.92753623188406,0.7717824605108349,0.24607556711939663,61,69,77,80,120,190,380,450,720,720,720
,Aggregated,2433,817,93,164.16939134219376,41.89233301440254,1399.096000008285,21685.159473900534,13.606860336397546,4.56917587128516,93,160,200,240,390,500,700,870,1300,1400,1400
