Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,282,282,55,56.07066163421668,48.51404199143872,207.96008297475055,1502.0,1.5698712804771708,1.5698712804771708,55,56,57,58,60,64,68,72,210,210,210
POST,/api/v1/statuses [POST],716,716,54,55.81298139997935,46.627959003672004,213.24054105207324,1502.0,3.9859143149704055,3.9859143149704055,54,55,56,57,59,63,70,140,210,210,210
POST,/api/v1/statuses/:id/favourite,3,3,56,54.81076430684576,51.48033396108076,57.357458979822695,1502.0,0.016700758302948628,0.016700758302948628,56,56,57,57,57,57,57,57,57,57,57
GET,/api/v1/timelines/home,841,841,54,56.36206679451739,48.29833301482722,213.26954202959314,1502.0,4.681779244259932,4.681779244259932,54,56,57,58,60,63,69,150,210,210,210
GET,/api/v1/timelines/public,410,403,54,56.34517399296051,47.285333974286914,159.20541703235358,2005.5731707317073,2.2824369680696455,2.243468532029432,54,56,57,58,61,67,90,94,160,160,160
GET,/api/v1/timelines/public [fav sample],150,147,55,58.68450608647739,48.652541008777916,264.6151249646209,1626.96,0.8350379151474313,0.8183371568444827,55,56,57,58,60,62,160,170,260,260,260
GET,/api/v2/search,143,143,55,55.36720654528288,48.90358296688646,79.81399999698624,1502.0,0.7960694791072178,0.7960694791072178,55,56,57,58,61,62,66,67,80,80,80
,Aggregated,2545,2535,54,56.251732619412515,46.627959003672004,264.6151249646209,1590.4907662082514,14.16780996033475,14.112140765991589,54,56,57,58,60,63,70,140,210,260,260
