Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,244,142,55,229.88502714510045,45.85399996722117,1234.5672919764183,43046.352459016394,1.365699303899017,0.7947922178428706,55,350,400,430,540,650,860,980,1200,1200,1200
POST,/api/v1/statuses [POST],722,722,52,58.854021119334995,46.335874998476356,281.4990420010872,29.0,4.04112662875037,4.04112662875037,52,58,61,63,71,81,130,160,280,280,280
POST,/api/v1/statuses/:id/favourite,127,92,50,60.243413980232596,46.56312504084781,450.9180409950204,472.61417322834643,0.710835293422849,0.5149358031094654,50,53,68,70,77,90,110,110,450,450,450
GET,/api/v1/timelines/home,780,520,53,112.15682772834462,45.87704100413248,782.6637920225039,11031.266666666666,4.36576006984112,2.9105067132274134,53,65,170,180,230,310,460,550,780,780,780
GET,/api/v1/timelines/public,401,0,94,108.5017910411528,86.34454198181629,399.4834999903105,30997.0,2.244448446161909,0.0,94,97,100,110,140,190,230,280,400,400,400
GET,/api/v1/timelines/public [fav sample],127,0,49,52.53882218641779,43.382750009186566,90.46537498943508,7750.0,0.710835293422849,0.0,49,51,52,53,64,78,82,82,90,90,90
GET,/api/v2/search,138,87,54,68.02424423664849,46.40041699167341,420.8577500539832,169.94202898550725,0.7724037046641982,0.4869501616361249,54,58,61,66,79,160,370,390,420,420,420
,Aggregated,2539,1563,54,99.758481057502,43.382750009186566,1234.5672919764183,12850.002756990942,14.211108740162311,8.748311524566244,54,74,94,99,200,340,480,570,980,1200,1200
