Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,269,35,360.0,462.2783365682785,46.84429196640849,2402.121916995384,40408.78810408922,1.5038324958869913,0.19566593812656022,360,480,600,700,970,1200,1700,1800,2400,2400,2400
POST,/api/v1/statuses [POST],1067,321,150.0,224.2053269561718,47.6524590048939,2262.636207975447,1160.6841611996251,5.965015885172564,1.7945361753893092,150,210,260,310,500,680,950,1200,1500,2300,2300
POST,/api/v1/statuses/:id/favourite,111,12,140.0,247.30933823429785,48.19812497589737,1254.5263749780133,1459.8468468468468,0.6205405466299481,0.06708546450053493,140,220,290,320,530,900,1000,1200,1300,1300,1300
GET,/api/v1/timelines/home,804,98,300.0,360.28515314219976,47.29670798406005,1697.4204999860376,28600.20273631841,4.49472612153584,0.5478646267543685,300,400,470,510,660,830,1100,1200,1700,1700,1700
GET,/api/v1/timelines/public,370,0,95,111.21165237288821,82.62370800366625,1794.5268750190735,30937.505405405405,2.0684684887664937,0.0,95,96,98,98,100,140,360,540,1800,1800,1800
GET,/api/v1/timelines/public [fav sample],111,0,49,77.50523241178074,43.61249995417893,1576.0146250249818,7732.747747747748,0.6205405466299481,0.0,49,50,52,53,88,160,210,590,1600,1600,1600
GET,/api/v2/search,108,11,88,131.59288504404552,50.918291963171214,782.8471250250004,619.574074074074,0.6037691805048143,0.06149500912549035,88,110,140,160,270,350,500,760,780,780,780
,Aggregated,2840,477,170.0,262.20562670065885,43.61249995417893,2402.121916995384,16773.64295774648,15.876893265126599,2.6666472138962636,170,260,340,400,580,790,1100,1300,1900,2400,2400
