Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,325,27,2100.0,2152.232326162585,59.56074997084215,5064.115208981093,72286.0923076923,1.8168290298909069,0.15093656556016766,2100,2500,2900,3000,3500,3900,4300,4700,5100,5100,5100
POST,/api/v1/statuses [POST],1428,689,1200.0,1326.5423124399854,48.498041986022145,5328.43391597271,866.2359943977591,7.9828672451822005,3.851677543368723,1200,1600,1900,2100,2600,3200,3800,4200,5100,5300,5300
POST,/api/v1/statuses/:id/favourite,152,14,1400.0,1553.8124076250058,49.60016696713865,4369.23462501727,1484.6644736842106,0.8497169616720549,0.07826340436453137,1400,1900,2200,2400,3000,3700,3900,4200,4400,4400,4400
GET,/api/v1/timelines/home,1150,95,1500.0,1665.3571260243696,54.18812501011416,5198.481542000081,30262.66347826087,6.428779644229363,0.5310731010450344,1500,1900,2300,2500,3000,3600,4100,4500,5100,5200,5200
GET,/api/v1/timelines/public,497,0,95,129.9723700447602,84.7106659784913,3011.315625044517,30917.808853118713,2.778350854940864,0.0,95,97,98,99,110,140,580,1700,3000,3000,3000
GET,/api/v1/timelines/public [fav sample],152,0,49,129.5569928674683,44.43537496263161,2765.8633329556324,7729.460526315789,0.8497169616720549,0.0,49,52,54,57,72,380,1500,1800,2800,2800,2800
GET,/api/v2/search,181,11,730.0,947.9124233395489,59.62220800574869,3556.4344999729656,904.4696132596686,1.0118340135700128,0.06149267485784608,730,1100,1400,1500,1900,2600,3500,3500,3600,3600,3600
,Aggregated,3885,836,1100.0,1287.2533303749603,44.43537496263161,5328.43391597271,19681.45045045045,21.718094711157455,4.673443289196302,1100,1600,1900,2200,2800,3400,3900,4200,5100,5300,5300
