Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,241,87,120.0,168.8289190372027,78.99675006046891,687.350292224437,10653.21161825726,1.340754064553511,0.4840066540089438,120,210,220,240,310,350,440,500,690,690,690
POST,/api/v1/statuses [POST],309,192,96,115.73866239378175,79.22179205343127,494.5198749192059,654.4142394822006,1.7190581159628004,1.068152615743876,96,120,120,130,170,220,300,340,490,490,490
POST,/api/v1/statuses/:id/favourite,48,3,120.0,122.07685152922447,80.35820815712214,220.7712079398334,1569.1875,0.267038153935969,0.016689884620998064,120,120,130,130,170,190,220,220,220,220,220
GET,/api/v1/timelines/home,519,194,220.0,188.02167148183966,78.15425004810095,582.1427921764553,18758.830443159924,2.8873500394326648,1.0792792054912081,220,230,250,250,280,320,400,430,580,580,580
GET,/api/v1/timelines/public,362,148,220.0,182.16968644590463,77.63545913621783,497.7354579605162,18789.64364640884,2.0139127442670994,0.8233676413025711,220,230,250,250,270,290,330,380,500,500,500
GET,/api/v1/timelines/public [fav sample],87,39,110.0,107.06708192739679,78.75100011005998,295.0128330849111,4376.9655172413795,0.4840066540089438,0.21696850007297483,110,120,120,120,130,150,260,300,300,300,300
GET,/api/v2/search,108,34,92,100.19734565651527,79.58420785143971,340.28933430090547,361.287037037037,0.6008358463559302,0.1891520257046447,92,96,99,100,120,160,180,280,340,340,340
,Aggregated,1674,697,120.0,158.88621773723216,77.63545913621783,687.350292224437,11829.42532855436,9.31295561851692,3.8776165269452165,120,220,230,240,270,300,360,420,660,690,690
