Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,210,91,120.0,209.42625555298514,79.19158274307847,1899.4030831381679,16057.62380952381,1.174546787569267,0.5089702746133491,120,230,320,340,380,440,760,1400,1900,1900,1900
POST,/api/v1/statuses [POST],321,214,97,165.76155322252822,78.2765420153737,4239.9033340625465,581.4392523364486,1.7953786609987368,1.1969191073324912,97,120,130,140,200,250,580,2400,4200,4200,4200
POST,/api/v1/statuses/:id/favourite,66,10,130.0,151.81214841449577,79.85325017943978,745.5881247296929,1422.5454545454545,0.36914327609319825,0.05593079940806034,130,150,160,170,210,270,380,750,750,750,750
GET,/api/v1/timelines/home,495,195,230.0,263.90983543989034,79.30250000208616,5129.614165984094,20866.79191919192,2.768574570698987,1.0906505884571767,230,250,260,270,320,420,960,4700,5100,5100,5100
GET,/api/v1/timelines/public,332,98,230.0,242.1526090306488,77.9901659116149,3450.965582858771,22286.015060240963,1.8569025403476032,0.5481218341989913,230,250,260,280,330,390,590,1500,3500,3500,3500
GET,/api/v1/timelines/public [fav sample],108,42,110.0,123.83977435442999,76.5562909655273,1362.4219158664346,4842.981481481482,0.6040526336070516,0.23490935751385342,110,120,120,130,150,180,190,420,1400,1400,1400
GET,/api/v2/search,117,54,90,104.90645086949962,79.38508316874504,828.0494161881506,307.7264957264957,0.6543903530743059,0.3020263168035258,90,95,100,110,130,150,190,400,830,830,830
,Aggregated,1649,704,120.0,208.54297099384243,76.5562909655273,5129.614165984094,13304.848999393573,9.22298882238915,3.9375282783274477,120,230,240,250,310,380,590,1500,4900,5100,5100
