Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,223,169,86,98.1809062248455,78.88587471097708,293.3820001780987,899.4977578475336,1.2402989572408267,0.939957505711658,86,90,110,110,120,130,230,290,290,290,290
POST,/api/v1/statuses [POST],328,273,88,117.07657773655316,78.86629225686193,911.5758752450347,330.6158536585366,1.8242962241030996,1.5183928938419091,88,93,110,120,160,250,580,620,910,910,910
POST,/api/v1/statuses/:id/favourite,98,70,92,105.87984228468672,80.44262509793043,366.90533393993974,537.7142857142857,0.5450641157381212,0.38933151124151516,93,110,110,110,140,160,260,370,370,370,370
GET,/api/v1/timelines/home,530,429,86,126.4138075610939,79.17608320713043,935.4368750937283,6757.033962264151,2.9477957279714717,2.386045976037286,86,88,100,220,250,270,320,360,940,940,940
GET,/api/v1/timelines/public,327,87,230.0,222.99824988139105,78.70637532323599,1489.8362080566585,24403.54740061162,1.8187343453710778,0.4838834496858831,230,230,240,250,270,350,720,1000,1500,1500,1500
GET,/api/v1/timelines/public [fav sample],140,42,110.0,113.08957770400282,78.47712514922023,487.9744159989059,5826.114285714286,0.7786630224830303,0.23359890674490907,110,120,120,120,130,160,220,220,490,490,490
GET,/api/v2/search,113,30,91,100.85401925942408,80.39750019088387,689.7937087342143,142.69026548672565,0.6284922967184459,0.16685636196064935,91,93,96,99,110,130,140,360,690,690,690
,Aggregated,1759,1100,89,135.20208920017012,78.47712514922023,1489.8362080566585,7251.105173393974,9.783344689626073,6.1180666052238095,89,110,140,220,240,260,360,580,1500,1500,1500
