Method,Name,Error,Occurrences
GET,/api/v2/search,CatchResponseError('Got 429'),873
GET,/api/v1/timelines/public [fav sample],CatchResponseError('Got 429'),891
POST,/api/v1/statuses/:id/favourite,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/statuses/:id/favourite'),38
GET,/api/v1/timelines/home,CatchResponseError('Got 429'),5537
POST,/api/v1/statuses [POST],"CatchResponseError('Got 429: {""error"":""Too many requests""}')",6557
GET,/api/v1/timelines/public,CatchResponseError('Got 429'),2614
GET,/api/v1/notifications,CatchResponseError('Got 429'),1834
