Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,853,663,89,406.03856317718606,43.44179201871157,3537.977416999638,18676.15592028136,2.846307991417702,2.212312073047991,89,120,140,700,1500,1900,2500,2800,3500,3500,3500
POST,/api/v1/statuses [POST],3129,3029,92,250.39581791326623,45.65437510609627,3083.8339999318123,80.80185362735698,10.440911729362238,10.107229667062391,92,120,140,220,840,1300,1700,2000,2700,3100,3100
POST,/api/v1/statuses/:id/favourite,143,43,400.0,674.6482942513861,48.41662524268031,3331.0599587857723,1155.972027972028,0.4771653490887824,0.14348328678893457,400,830,1000,1200,1700,2200,2300,2800,3300,3300,3300
GET,/api/v1/timelines/home,2669,2011,91,343.18992152388574,44.44875009357929,3248.6514169722795,8161.263019857624,8.90597424278294,6.71034627284994,91,130,220,500,1200,1700,2200,2400,3100,3200,3200
GET,/api/v1/timelines/public,1275,818,100,332.6202837100216,43.324333149939775,2573.4322909265757,11122.578039215687,4.25444629432306,2.7295192696127555,100,200,340,490,1100,1500,2000,2100,2500,2600,2600
GET,/api/v1/timelines/public [fav sample],446,303,99,245.785371514221,45.75183289125562,2355.763915926218,2503.2062780269057,1.4882219978573215,1.0110566487685388,99,130,170,250,790,1200,1900,2000,2400,2400,2400
GET,/api/v2/search,474,344,96,254.12051726961784,45.190291944891214,2468.3215408585966,136.4662447257384,1.5816529753012787,1.1478662943114766,96,130,180,360,800,1200,1500,1700,2500,2500,2500
,Aggregated,8989,7211,94,311.09714961367985,43.324333149939775,3537.977416999638,5951.0186895094,29.994680580133323,24.06181351244203,94,130,200,400,1100,1500,2000,2300,3100,3500,3500
