Method,Name,Error,Occurrences
GET,/api/v2/search,CatchResponseError('Got 429'),103
GET,/api/v1/timelines/public [fav sample],CatchResponseError('Got 429'),98
POST,/api/v1/statuses/:id/favourite,HTTPError('429 Client Error: Too Many Requests for url: /api/v1/statuses/:id/favourite'),28
GET,/api/v1/timelines/home,CatchResponseError('Got 429'),668
POST,/api/v1/statuses [POST],"CatchResponseError('Got 429: {""error"":""Too many requests""}')",834
GET,/api/v1/timelines/public,CatchResponseError('Got 429'),280
GET,/api/v1/notifications,CatchResponseError('Got 429'),215
