Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/notifications,404,215,110.0,195.13168401605827,46.48225009441376,1399.859458208084,18736.606435643564,1.3484900462950127,0.7176370295876924,120,230,290,330,400,570,760,970,1400,1400,1400
POST,/api/v1/statuses [POST],1383,834,82,130.77523921322097,45.63570907339454,937.4512922950089,672.3702096890817,4.616241915905947,2.7837641054703974,82,120,150,180,280,400,560,670,880,940,940
POST,/api/v1/statuses/:id/favourite,114,28,110.0,152.93050555332582,47.286625020205975,699.719165917486,1242.1315789473683,0.3805145180139392,0.09345970617886226,110,160,190,210,300,490,570,630,700,700,700
GET,/api/v1/timelines/home,1153,668,100.0,172.9042388915576,45.84633279591799,1556.6417500376701,13781.368603642672,3.8485371865795783,2.229681561695714,100,210,250,280,370,470,650,790,1300,1600,1600
GET,/api/v1/timelines/public,591,280,170.0,177.8341407782056,45.48583319410682,1011.3236671313643,16314.047377326566,1.9726673697038428,0.9345970617886227,170,210,240,270,350,430,570,700,1000,1000,1000
GET,/api/v1/timelines/public [fav sample],212,98,91,111.25173912392403,46.93204117938876,711.1610830761492,4177.985849056604,0.7076234896399571,0.32710897162601793,91,110,130,140,200,230,350,480,710,710,710
GET,/api/v2/search,184,103,61,88.20569901170371,46.511583030223846,622.3624581471086,238.5163043478261,0.6141637834610949,0.34379820487224333,61,85,98,110,150,200,290,310,620,620,620
,Aggregated,4041,2226,94,153.77461414544968,45.48583319410682,1556.6417500376701,8686.518188567186,13.488238309599373,7.43004664121955,94,160,210,240,340,440,610,740,1200,1600,1600
